Tempo;Temperatura
0;570.929189
1.0101;570.753265
2.0202;570.593515
3.0303;570.429613
4.0404;570.265057
5.0505;570.0828
6.0606;569.95037
7.0707;569.78975
8.0808;569.587611
9.0909;569.459991
10.101;569.270529
11.1111;569.09418
12.1212;568.935095
13.1313;568.789996
14.1414;568.614306
15.1515;568.426816
16.1616;568.29352
17.1717;568.111495
18.1818;567.939305
19.1919;567.75772
20.202;567.597112
21.2121;567.464913
22.2222;567.276338
23.2323;567.146106
24.2424;567.001453
25.2525;566.806982
26.2626;566.642665
27.2727;566.493426
28.2828;566.303983
29.2929;566.145568
30.303;565.976667
31.3131;565.817598
32.3232;565.656782
33.3333;565.499463
34.3434;565.348481
35.3535;565.173466
36.3636;565.010249
37.3737;564.844194
38.3838;564.697584
39.3939;564.521042
40.404;564.344938
41.4141;564.181726
42.4242;564.015455
43.4343;563.861857
44.4444;563.703891
45.4545;563.553572
46.4646;563.353657
47.4747;563.204213
48.4848;563.042535
49.4949;562.872773
50.505;562.678979
51.5151;562.538058
52.5252;562.409373
53.5353;562.217547
54.5454;562.06483
55.5555;561.870384
56.5656;561.715265
57.5757;561.570415
58.5858;561.390609
59.5959;561.242482
60.606;561.071635
61.6161;560.925257
62.6262;560.758125
63.6363;560.606723
64.6464;560.44418
65.6565;560.279234
66.6666;560.079333
67.6767;559.916791
68.6868;559.768232
69.6969;559.622732
70.707;559.444898
71.7171;559.274712
72.7272;559.120474
73.7373;558.976286
74.7474;558.802823
75.7575;558.630236
76.7676;558.481024
77.7777;558.325477
78.7878;558.156604
79.7979;557.985328
80.808;557.843983
81.8181;557.655449
82.8282;557.517818
83.8383;557.366205
84.8484;557.196024
85.8585;557.028682
86.8686;556.850418
87.8787;556.693345
88.8888;556.549598
89.8989;556.383569
90.909;556.224312
91.9191;556.078163
92.9292;555.902303
93.9393;555.761397
94.9494;555.589034
95.9595;555.413175
96.9696;555.225301
97.9797;555.081775
98.9898;554.933224
99.9999;554.767415
101.01;554.61384
102.0201;554.448031
103.0302;554.269989
104.0403;554.142847
105.0504;553.986433
106.0605;553.819314
107.0706;553.683871
108.0807;553.50583
109.0908;553.324948
110.1009;553.190161
111.111;553.009061
112.1211;552.87908
113.1312;552.702787
114.1413;552.52125
115.1514;552.39542
116.1615;552.208641
117.1716;552.071232
118.1817;551.919187
119.1918;551.759278
120.2019;551.582984
121.212;551.422856
122.2221;551.272122
123.2322;551.101945
124.2423;550.943346
125.2524;550.799165
126.2625;550.616754
127.2726;550.472354
128.2827;550.316595
129.2928;550.150787
130.3029;549.997649
131.313;549.83752
132.3231;549.677828
133.3332;549.527311
134.3433;549.371987
135.3534;549.216664
136.3635;549.062869
137.3736;548.892254
138.3837;548.73977
139.3938;548.571993
140.4039;548.40946
141.414;548.271612
142.4241;548.126336
143.4342;547.995479
144.4443;547.787068
145.4544;547.597225
146.4645;547.479911
147.4746;547.332013
148.4847;547.14217
149.4948;547.005412
150.5049;546.826273
151.515;546.688641
152.5251;546.520424
153.5352;546.376456
154.5453;546.210205
155.5554;546.053128
156.5655;545.915932
157.5756;545.739848
158.5857;545.588669
159.5958;545.433339
160.6059;545.273421
161.616;545.134038
162.6261;544.956423
163.6362;544.822064
164.6463;544.675034
165.6564;544.504845
166.6665;544.372452
167.6766;544.205321
168.6867;544.076204
169.6968;543.895308
170.7069;543.741502
171.717;543.598183
172.7271;543.429739
173.7372;543.291881
174.7473;543.118629
175.7574;542.973123
176.7675;542.835482
177.7776;542.681017
178.7877;542.507544
179.7978;542.362473
180.8079;542.204512
181.818;542.045457
182.8281;541.898636
183.8382;541.781092
184.8483;541.581834
185.8584;541.455331
186.8685;541.311349
187.8786;541.166929
188.8887;541.015954
189.8988;540.857768
190.9089;540.731481
191.919;540.575698
192.9291;540.448099
193.9392;540.286852
194.9493;540.139587
195.9594;540.003903
196.9695;539.880453
197.9796;539.728598
198.9897;539.593349
199.9998;539.464435
201.0099;539.341202
202.02;539.185412
203.0301;539.067422
204.0402;538.969534
205.0503;538.817893
206.0604;538.728307
207.0705;538.62867
208.0806;538.541486
209.0907;538.499752
210.1008;538.436604
211.1109;538.433108
212.121;538.439663
213.1311;538.449714
214.1412;538.451681
215.1513;538.470909
216.1614;538.500189
217.1715;538.499315
218.1816;538.521603
219.1917;538.534494
220.2018;538.564429
221.2119;538.590868
222.222;538.651613
223.2321;538.695313
224.2422;538.767638
225.2523;538.793203
226.2624;538.861375
227.2725;538.893277
228.2826;538.943314
229.2927;538.998813
230.3028;539.011486
231.3129;539.068296
232.323;539.105004
233.3331;539.132754
234.3432;539.17995
235.3533;539.211632
236.3634;539.246374
237.3735;539.281552
238.3836;539.282208
239.3937;539.343387
240.4038;539.343169
241.4139;539.379003
242.424;539.397138
243.4341;539.445863
244.4442;539.44346
245.4543;539.474049
246.4644;539.484319
247.4745;539.498958
248.4846;539.538069
249.4947;539.518841
250.5048;539.560137
251.5149;539.579147
252.525;539.580676
253.5351;539.589635
254.5452;539.577836
255.5553;539.600122
256.5654;539.639015
257.5755;539.602963
258.5856;539.646007
259.5957;539.648192
260.6058;539.659772
261.6159;539.688614
262.626;539.704782
263.6361;539.704564
264.6462;539.698009
265.6563;539.693202
266.6664;539.711993
267.6765;539.714178
268.6866;539.711556
269.6967;539.73122
270.7068;539.755036
271.7169;539.756784
272.727;539.77339
273.7371;539.755473
274.7472;539.772079
275.7573;539.767491
276.7674;539.784752
277.7775;539.776449
278.7876;539.773609
279.7977;539.789122
280.8078;539.808131
281.8179;539.805946
282.828;539.803761
283.8381;539.743456
284.8482;539.792181
285.8583;539.809442
286.8684;539.815778
287.8785;539.79524
288.8886;539.812064
289.8987;539.820804
290.9088;539.808568
291.9189;539.822989
292.929;539.83151
293.9391;539.826048
294.9492;539.847023
295.9593;539.837628
296.9694;539.836754
297.9795;539.835224
298.9896;539.849645
299.9997;539.851393
301.0098;539.862755
302.0199;539.859914
303.03;539.859477
304.0401;539.861881
305.0502;539.878487
306.0603;539.876957
307.0704;539.883075
308.0805;539.850082
309.0906;539.888756
310.1007;539.894218
311.1108;539.864721
312.1209;539.860133
313.131;539.895092
314.1411;539.87652
315.1512;539.87805
316.1613;539.899244
317.1714;539.897496
318.1815;539.888537
319.1916;539.895311
320.2017;539.866469
321.2118;539.855763
322.2219;539.90995
323.232;539.893126
324.2421;539.896622
325.2522;539.89247
326.2623;539.907109
327.2724;539.916723
328.2825;539.902958
329.2926;539.899462
330.3027;539.895311
331.3128;539.903395
332.3229;539.903176
333.333;539.926337
334.3431;539.926774
335.3532;539.927648
336.3633;539.919345
337.3734;539.944472
338.3835;539.904924
339.3936;539.915194
340.4037;539.924152
341.4138;539.930051
342.4239;539.907109
343.434;539.939447
344.4441;539.910605
345.4542;539.887663
346.4643;539.911479
347.4744;539.907983
348.4845;539.902958
349.4946;539.929614
350.5047;539.897059
351.5148;539.914538
352.5249;539.914101
353.535;539.913227
354.5451;539.913664
355.5552;539.934203
356.5653;539.902303
357.5754;539.919564
358.5855;539.915194
359.5956;539.917597
360.6057;539.921749
361.6158;539.92306
362.6259;539.897059
363.636;539.927866
364.6461;539.936825
365.6562;539.920219
366.6663;539.929177
367.6764;539.89684
368.6865;539.952775
369.6966;539.937699
370.7067;539.910168
371.7168;539.916068
372.7269;539.921312
373.737;539.912353
374.7471;539.909731
375.7572;539.922404
376.7673;539.914975
377.7774;539.935295
378.7875;539.925681
379.7976;539.9259
380.8077;539.93311
381.8178;539.9259
382.8279;539.924371
383.838;539.913446
384.8481;539.93027
385.8582;539.931362
386.8683;539.940758
387.8784;539.901647
388.8885;539.922404
389.8986;539.920438
390.9087;539.909294
391.9188;539.915631
392.9289;539.918253
393.939;539.928303
394.9491;539.911042
395.9592;539.898151
396.9693;539.925681
397.9794;539.917597
398.9895;539.913009
399.9996;539.919127
401.0097;539.912135
402.0198;539.895748
403.0299;539.912572
404.04;539.89247
405.0501;539.903176
406.0602;539.890722
407.0703;539.907328
408.0804;539.902521
409.0905;539.895092
410.1006;539.910387
411.1107;539.890941
412.1208;539.907765
413.1309;539.880016
414.141;539.917597
415.1511;539.899025
416.1612;539.896622
417.1713;539.88373
418.1814;539.913446
419.1915;539.890285
420.2016;539.881108
421.2117;539.918471
422.2218;539.886789
423.2319;539.885915
424.242;539.882856
425.2521;539.874991
426.2622;539.890285
427.2723;539.887882
428.2824;539.880016
429.2925;539.880671
430.3026;539.870402
431.3127;539.887008
432.3228;539.874554
433.3329;539.883075
434.343;539.860351
435.3531;539.887226
436.3632;539.861444
437.3733;539.867125
438.3834;539.871058
439.3935;539.876302
440.4036;539.876739
441.4137;539.852049
442.4238;539.853141
443.4339;539.882419
444.444;539.863847
445.4541;539.851393
446.4642;539.87652
447.4743;539.853141
448.4844;539.853797
449.4945;539.860133
450.5046;539.84899
451.5147;539.868873
452.5248;539.850301
453.5349;539.842216
454.545;539.840031
455.5551;539.861444
456.5652;539.854234
457.5753;539.84309
458.5854;539.849427
459.5955;539.829107
460.6056;539.858385
461.6157;539.841124
462.6258;539.85904
463.6359;539.848553
464.646;539.835224
465.6561;539.840687
466.6662;539.857948
467.6763;539.826266
468.6864;539.821678
469.6965;539.830199
470.7066;539.841124
471.7167;539.846586
472.7268;539.822552
473.7369;539.831073
474.747;539.843527
475.7571;539.809879
476.7672;539.823207
477.7773;539.816871
478.7874;539.822333
479.7975;539.826266
480.8076;539.793929
481.8177;539.83872
482.8278;539.800921
483.8379;539.821022
484.848;539.817526
485.8581;539.819274
486.8682;539.795021
487.8783;539.834132
488.8884;539.784315
489.8985;539.806602
490.9086;539.795677
491.9187;539.796769
492.9288;539.802669
493.9389;539.767054
494.949;539.804198
495.9591;539.782567
496.9692;539.783004
497.9793;539.801139
498.9894;539.783222
499.9995;539.781256
501.0096;539.783441
502.0197;539.774046
503.0298;539.772079
504.0399;539.779508
505.05;539.786718
506.0601;539.779727
507.0702;539.774264
508.0803;539.769457
509.0904;539.766835
510.1005;539.745641
511.1106;539.760062
512.1207;539.758751
513.1308;539.77492
514.1409;539.759406
515.151;539.768146
516.1611;539.756347
517.1712;539.749574
518.1813;539.742364
519.1914;539.737338
520.2015;539.752633
521.2116;539.750885
522.2217;539.746734
523.2318;539.748919
524.2419;539.736683
525.252;539.741708
526.2621;539.725977
527.2722;539.709808
528.2823;539.727069
529.2924;539.729035
530.3025;539.691454
531.3126;539.671134
532.3227;539.730783
533.3328;539.649503
534.3429;539.731002
535.353;539.746952
536.3631;539.706312
537.3732;539.731876
538.3833;539.678563
539.3934;539.668512
540.4035;539.637922
541.4136;539.617602
542.4237;539.554894
543.4338;539.512286
544.4439;539.439745
545.454;539.386432
546.4641;539.335521
547.4742;539.269535
548.4843;539.231953
549.4944;539.100416
550.5045;539.043824
551.5146;538.973904
