Tempo;U_t;V_t;A_t
0.000;1.995E-2;0;0
0.033;1.992E-2;-1.659E-3;0
0.067;1.984E-2;-1.282E-3;3.885E-2
0.100;1.984E-2;1.224E-3;4.205E-2
0.133;1.992E-2;1.806E-3;3.590E-2
0.167;1.996E-2;2.972E-3;0.320
0.200;2.012E-2;2.139E-2;0.817
0.233;2.138E-2;5.890E-2;1.036
0.267;2.405E-2;9.228E-2;0.760
0.300;2.753E-2;0.109;0.253
0.333;3.134E-2;0.109;-0.239
0.367;3.482E-2;9.306E-2;-0.722
0.400;3.754E-2;6.147E-2;-1.028
0.433;3.892E-2;2.308E-2;-1.109
0.467;3.908E-2;-1.235E-2;-1.084
0.500;3.810E-2;-4.871E-2;-1.021
0.533;3.583E-2;-8.151E-2;-0.777
0.567;3.266E-2;-0.101;-0.286
0.600;2.911E-2;-0.101;0.199
0.633;2.593E-2;-8.646E-2;0.623
0.667;2.335E-2;-6.016E-2;1.019
0.700;2.192E-2;-1.842E-2;1.290
0.733;2.212E-2;2.735E-2;1.205
0.767;2.374E-2;6.247E-2;0.850
0.800;2.629E-2;8.389E-2;0.460
0.833;2.933E-2;9.306E-2;6.338E-2
0.867;3.249E-2;8.842E-2;-0.378
0.900;3.523E-2;6.784E-2;-0.749
0.933;3.701E-2;3.762E-2;-0.919
0.967;3.773E-2;6.242E-3;-0.938
1.000;3.743E-2;-2.483E-2;-0.905
1.033;3.608E-2;-5.439E-2;-0.787
1.067;3.380E-2;-7.769E-2;-0.467
1.100;3.090E-2;-8.629E-2;-7.389E-2
1.133;2.805E-2;-8.161E-2;0.335
1.167;2.546E-2;-6.482E-2;0.685
1.200;2.373E-2;-3.518E-2;1.002
1.233;2.312E-2;2.004E-3;1.066
1.267;2.386E-2;3.721E-2;0.912
1.300;2.560E-2;6.257E-2;0.586
1.333;2.803E-2;7.668E-2;0.237
1.367;3.071E-2;7.816E-2;-0.130
1.400;3.324E-2;6.807E-2;-0.488
1.433;3.525E-2;4.565E-2;-0.712
1.467;3.629E-2;1.934E-2;-0.795
1.500;3.653E-2;-6.646E-3;-0.769
1.533;3.584E-2;-3.255E-2;-0.732
1.567;3.437E-2;-5.522E-2;-0.558
1.600;3.216E-2;-7.052E-2;-0.252
1.633;2.966E-2;-7.211E-2;9.493E-2
1.667;2.736E-2;-6.355E-2;0.423
1.700;2.543E-2;-4.460E-2;0.708
1.733;2.438E-2;-1.561E-2;0.894
1.767;2.439E-2;1.543E-2;0.853
1.800;2.541E-2;4.179E-2;0.656
1.833;2.717E-2;5.923E-2;0.375
1.867;2.936E-2;6.684E-2;5.896E-2
1.900;3.163E-2;6.328E-2;-0.256
1.933;3.358E-2;4.950E-2;-0.513
1.967;3.493E-2;2.885E-2;-0.634
2.000;3.550E-2;6.695E-3;-0.675
2.033;3.537E-2;-1.575E-2;-0.646
2.067;3.445E-2;-3.693E-2;-0.564
2.100;3.291E-2;-5.326E-2;-0.349
2.133;3.090E-2;-6.082E-2;-9.574E-2
2.167;2.886E-2;-5.908E-2;0.208
2.200;2.696E-2;-4.759E-2;0.475
2.233;2.569E-2;-2.672E-2;0.692
2.267;2.518E-2;-1.459E-3;0.753
2.300;2.559E-2;2.404E-2;0.671
2.333;2.678E-2;4.357E-2;0.452
2.367;2.849E-2;5.426E-2;0.182
2.400;3.040E-2;5.565E-2;-7.773E-2
2.433;3.220E-2;4.894E-2;-0.324
2.467;3.366E-2;3.417E-2;-0.487
2.500;3.448E-2;1.572E-2;-0.567
2.533;3.471E-2;-3.318E-3;-0.561
2.567;3.426E-2;-2.211E-2;-0.525
2.600;3.324E-2;-3.819E-2;-0.404
2.633;3.171E-2;-4.940E-2;-0.200
2.667;2.994E-2;-5.168E-2;4.681E-2
2.700;2.827E-2;-4.596E-2;0.286
2.733;2.688E-2;-3.284E-2;0.492
2.767;2.608E-2;-1.288E-2;0.624
2.800;2.602E-2;9.120E-3;0.616
2.833;2.669E-2;2.850E-2;0.485
2.867;2.792E-2;4.168E-2;0.285
2.900;2.947E-2;4.744E-2;5.000E-2
2.933;3.108E-2;4.514E-2;-0.160
2.967;3.248E-2;3.641E-2;-0.353
3.000;3.351E-2;2.185E-2;-0.446
