Tempo;U_t;V_t;A_t
0.000;2.299E-2;0;0
0.033;2.298E-2;-9.824E-5;0
0.067;2.298E-2;3.843E-4;-9.701E-4
0.100;2.300E-2;-7.786E-5;-6.782E-3
0.133;2.298E-2;-3.193E-4;1.235E-3
0.167;2.298E-2;1.815E-4;6.655E-3
0.200;2.299E-2;1.319E-4;-2.318E-3
0.233;2.299E-2;-4.152E-5;-1.075E-2
0.267;2.299E-2;-4.941E-4;2.647E-2
0.300;2.296E-2;1.275E-3;8.540E-2
0.333;2.307E-2;5.598E-3;0.369
0.367;2.333E-2;2.386E-2;0.756
0.400;2.466E-2;5.780E-2;0.974
0.433;2.718E-2;8.954E-2;0.738
0.467;3.063E-2;0.108;0.324
0.500;3.437E-2;0.111;-0.148
0.533;3.800E-2;9.847E-2;-0.567
0.567;4.093E-2;7.225E-2;-0.899
0.600;4.282E-2;3.824E-2;-1.094
0.633;4.348E-2;-7.567E-4;-1.157
0.666;4.277E-2;-3.955E-2;-1.125
0.700;4.085E-2;-7.551E-2;-0.903
0.733;3.774E-2;-0.101;-0.526
0.766;3.411E-2;-0.110;-7.200E-2
0.800;3.040E-2;-0.106;0.360
0.833;2.705E-2;-8.644E-2;0.758
0.866;2.464E-2;-5.463E-2;1.072
0.900;2.341E-2;-1.502E-2;1.233
0.933;2.364E-2;2.820E-2;1.210
0.966;2.529E-2;6.625E-2;1.019
1.000;2.805E-2;9.602E-2;0.652
1.033;3.169E-2;0.111;0.206
1.066;3.544E-2;0.109;-0.291
1.100;3.895E-2;9.202E-2;-0.686
1.133;4.157E-2;6.227E-2;-0.980
1.166;4.310E-2;2.657E-2;-1.117
1.200;4.334E-2;-1.244E-2;-1.148
1.233;4.227E-2;-5.034E-2;-1.036
1.266;3.999E-2;-8.190E-2;-0.782
1.300;3.681E-2;-0.103;-0.431
1.333;3.314E-2;-0.111;1.723E-2
1.366;2.943E-2;-0.102;0.462
1.400;2.634E-2;-7.911E-2;0.868
1.433;2.416E-2;-4.457E-2;1.147
1.466;2.337E-2;-1.763E-3;1.274
1.500;2.404E-2;4.069E-2;1.161
1.533;2.608E-2;7.622E-2;0.907
1.566;2.912E-2;0.101;0.499
1.600;3.282E-2;0.110;6.235E-2
1.633;3.647E-2;0.104;-0.399
1.666;3.978E-2;8.440E-2;-0.762
1.700;4.210E-2;5.253E-2;-1.028
1.733;4.328E-2;1.595E-2;-1.138
1.766;4.316E-2;-2.362E-2;-1.134
1.799;4.171E-2;-6.020E-2;-0.995
1.833;3.915E-2;-8.992E-2;-0.700
1.866;3.572E-2;-0.108;-0.301
1.899;3.198E-2;-0.110;0.178
1.933;2.840E-2;-9.602E-2;0.600
1.966;2.558E-2;-6.906E-2;0.968
1.999;2.380E-2;-3.177E-2;1.186
2.033;2.346E-2;1.093E-2;1.243
2.066;2.453E-2;5.123E-2;1.089
2.099;2.688E-2;8.406E-2;0.786
2.133;3.013E-2;0.104;0.389
2.166;3.380E-2;0.110;-5.960E-2
2.199;3.745E-2;0.100;-0.502
2.233;4.048E-2;7.586E-2;-0.869
2.266;4.251E-2;4.210E-2;-1.083
2.299;4.329E-2;3.317E-3;-1.157
2.333;4.273E-2;-3.537E-2;-1.086
2.366;4.093E-2;-6.939E-2;-0.906
2.399;3.810E-2;-9.587E-2;-0.576
2.433;3.454E-2;-0.109;-0.148
2.466;3.087E-2;-0.105;0.302
2.499;2.752E-2;-8.851E-2;0.688
2.533;2.497E-2;-5.920E-2;1.020
2.566;2.358E-2;-2.030E-2;1.231
2.599;2.361E-2;2.333E-2;1.246
2.633;2.513E-2;6.343E-2;1.016
2.666;2.784E-2;9.152E-2;0.647
2.699;3.123E-2;0.106;0.234
2.733;3.492E-2;0.107;-0.190
2.766;3.839E-2;9.348E-2;-0.614
2.799;4.115E-2;6.629E-2;-0.931
2.833;4.281E-2;3.090E-2;-1.104
2.866;4.321E-2;-7.557E-3;-1.134
2.899;4.231E-2;-4.503E-2;-1.029
2.932;4.021E-2;-7.650E-2;-0.840
2.966;3.721E-2;-0.101;-0.479
2.999;3.349E-2;-0.110;-2.964E-2
3.032;2.989E-2;-0.102;0.437
